FID,Join_Count,OBJECTID,city,state,lat,lon,city_id,count,unarmed_count,average_age,average_age_count,minimum_age,maximum_age,female_count,known_black_count,known_hispanic_count,known_nonwhite_count,non_fleeing_count,body_camera_count
0,1,1,300 block of State Line Road,TN,36.59036,-84.43883,1,1,0,34,1,34,34,0,0,0,1,1,0
1,1,2,Abbeville,AL,31.57164,-85.25093,2,1,0,29,1,29,29,0,1,0,1,0,0
2,1,3,Aberdeen,NC,35.13139,-79.42954,3,1,0,33,1,33,33,0,0,0,0,0,0
3,1,4,Aberdeen,WA,46.97586,-123.81598,4,1,0,41,1,41,41,0,0,0,0,1,0
4,3,5,Abilene,TX,32.44917,-99.74142,5,3,0,117,3,28,60,0,1,0,1,1,0
5,1,6,Abingdon,MD,39.46367,-76.27846,6,1,0,67,1,67,67,0,0,0,0,0,0
6,1,7,Abingdon,VA,36.71064,-81.97496,7,1,0,0,0,999,0,0,0,1,1,1,0
7,1,8,Abington Township,PA,40.117,-75.1204,8,1,0,0,0,999,0,0,0,1,1,0,0
8,10,9,Achorage,AK,61.21753,-149.85825,9,10,0,290,9,16,56,0,1,0,5,5,0
9,1,10,Acworth,GA,34.06557,-84.67769,10,1,0,50,1,50,50,0,0,0,0,0,0
10,3,11,Ada,OK,34.77506,-96.67866,11,3,0,29,1,29,29,0,0,0,1,0,0
11,4,12,Adams County,CO,39.87375911,-104.3366349,12,4,1,27,1,27,27,0,0,0,3,3,0
12,1,13,Addison,TX,32.95398,-96.818,13,1,1,16,1,16,16,0,0,1,1,1,0
13,1,14,Adel,GA,31.13696,-83.4236,14,1,0,67,1,67,67,0,0,0,1,0,0
14,1,15,Adelanto,CA,34.57922,-117.4101,15,1,0,32,1,32,32,0,1,0,1,1,0
15,1,16,Affton,MO,38.55053,-90.33272,16,1,0,59,1,59,59,0,0,0,0,1,0
16,1,17,Aguanga,CA,33.44265,-116.86486,17,1,0,62,1,62,62,1,0,0,1,0,0
17,1,18,Ahwatukee,AZ,33.34181,-111.9834,18,1,0,29,1,29,29,1,0,1,1,1,0
18,1,19,Aiea,HI,21.38013,-157.93084,19,1,0,33,1,33,33,0,0,0,1,1,0
19,3,20,Aiken,SC,33.56164,-81.72214,20,3,0,122,3,22,57,0,1,0,1,0,0
20,1,21,Aitkin,MN,46.53338,-93.70737,21,1,0,50,1,50,50,1,0,0,0,0,0
21,7,22,Akron,OH,41.08431,-81.51431,22,7,3,282,7,21,61,0,2,0,5,3,1
22,2,23,Alamo,TN,35.7853,-89.11725,23,2,0,64,2,28,36,0,1,0,1,0,1
23,4,24,Alamogordo,NM,32.89925,-105.96032,24,4,0,137,4,22,55,0,0,3,4,2,1
24,2,25,Alamosa,CO,37.46818,-105.87325,25,2,0,84,2,37,47,1,0,1,1,1,0
25,1,26,Albany,GA,31.5814,-84.15602,26,1,0,55,1,55,55,0,1,0,1,0,0
26,1,27,Albany,NY,42.65155,-73.75521,27,1,0,20,1,20,20,0,0,0,0,0,0
27,1,28,Albert Lea,MN,43.64733,-93.36871,28,1,0,27,1,27,27,0,0,0,0,1,0
28,1,29,Albertville,AL,34.26951,-86.20794,29,1,0,34,1,34,34,0,0,0,0,1,1
29,35,30,Albuquerque,NM,35.08423,-106.64905,30,35,3,1049,31,18,71,2,0,23,28,16,6
30,1,31,Alderwood Manor,WA,47.82204,-122.28207,31,1,0,24,1,24,24,0,0,0,0,1,0
31,1,32,Aldie,VA,38.97842,-77.6513,32,1,0,58,1,58,58,0,0,0,0,0,0
32,2,33,Alexandria,LA,31.31266,-92.44568,33,2,0,27,1,27,27,0,2,0,2,0,0
33,1,34,Alexandria,MN,45.88939,-95.36634,34,1,0,31,1,31,31,0,0,0,0,0,0
34,1,35,Alexandria,VA,38.8046,-77.04341,35,1,0,66,1,66,66,0,0,0,0,0,0
35,1,36,Algoma Township,MI,43.15486,-85.61104,36,1,1,30,1,30,30,0,0,0,0,0,0
36,1,37,Alhambra,CA,34.0937,-118.12727,37,1,0,25,1,25,25,0,0,1,1,0,1
37,1,38,Allen,OK,34.87925,-96.41513,38,1,0,32,1,32,32,0,0,0,0,1,0
38,2,39,Allen,TX,33.10162,-96.67449,39,2,0,21,1,21,21,0,1,0,2,1,0
39,3,40,Allentown,PA,40.60263,-75.47027,40,3,0,112,3,27,43,0,0,0,1,2,0
40,1,41,Alliance,OH,40.92155,-81.10584,41,1,1,41,1,41,41,0,0,0,0,1,0
41,2,42,Aloha,OR,45.49409,-122.86758,42,2,0,102,2,47,55,1,0,0,0,0,0
42,2,43,Alpine,CA,32.83466,-116.7525,43,2,0,33,1,33,33,0,0,1,1,0,1
43,2,44,Alton,IL,38.89086,-90.18383,44,2,0,69,2,27,42,0,0,1,1,0,0
44,1,45,Altoona,IA,41.64407,-93.45754,45,1,0,25,1,25,25,0,0,0,0,1,0
45,1,46,Alvin,TX,29.42381,-95.24538,46,1,0,34,1,34,34,0,0,0,0,0,0
46,10,47,Amarillo,TX,35.20725,-101.83389,47,10,1,274,8,19,54,0,0,5,7,3,0
47,1,48,Amelia Island,FL,30.61147,-81.4559,48,1,0,25,1,25,25,0,0,0,0,0,0
48,1,49,Amite,LA,30.72668,-90.5085,49,1,0,36,1,36,36,0,0,0,0,0,0
49,1,50,Amity,OR,45.11666,-123.20623,50,1,1,27,1,27,27,0,0,0,0,1,0
50,1,51,Anadarko,OK,35.07317,-98.24368,51,1,0,34,1,34,34,0,0,0,1,1,0
51,10,52,Anaheim,CA,33.83286,-117.91524,52,10,1,309,10,17,50,2,2,6,8,4,8
52,1,53,Anchor Point,AK,59.77599,-151.83105,53,1,0,32,1,32,32,1,0,0,0,1,0
53,10,54,Anchorage,AK,61.21753,-149.85825,54,10,0,290,9,16,56,0,1,0,5,5,0
54,2,55,Anderson,CA,40.45056,-122.30125,55,2,0,80,2,27,53,0,0,0,0,0,0
55,1,56,Anderson,SC,34.50061,-82.64962,56,1,0,43,1,43,43,0,0,0,0,1,0
